k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
3,"[0, 1, 3, 4, 5, 6]",6,2,"0,1,3,4,5,6",0.81,42
3,"[1, 2, 4, 5, 6, 7]",6,2,"1,2,4,5,6,7",0.79,42
3,"[0, 1, 2, 3, 5, 6]",6,2,"0,1,2,3,5,6",0.79,42
3,"[0, 1, 3, 4, 5, 6, 7]",7,1,"0,1,3,4,5,6,7",0.79,64
3,"[1, 2, 3, 4, 5, 6, 7]",7,1,"1,2,3,4,5,6,7",0.7766666666666666,64
3,"[1, 2, 3, 4, 5, 6]",6,2,"1,2,3,4,5,6",0.7766666666666666,42
3,"[0, 1, 2, 3, 4, 7]",6,2,"0,1,2,3,4,7",0.7766666666666666,42
3,"[1, 2, 3, 4, 6, 7]",6,2,"1,2,3,4,6,7",0.7766666666666666,42
3,"[1, 2, 3, 5, 6, 7]",6,2,"1,2,3,5,6,7",0.7766666666666666,42
3,"[0, 1, 3, 5, 6, 7]",6,2,"0,1,3,5,6,7",0.7733333333333333,42
3,"[0, 1, 2, 5, 6, 7]",6,2,"0,1,2,5,6,7",0.7733333333333333,42
3,"[0, 1, 2, 3, 4, 6]",6,2,"0,1,2,3,4,6",0.7733333333333333,42
3,"[0, 1, 2, 3, 4, 5, 7]",7,1,"0,1,2,3,4,5,7",0.7733333333333333,64
3,"[0, 1, 3, 4, 5, 7]",6,2,"0,1,3,4,5,7",0.7666666666666667,42
3,"[1, 2, 3, 4, 5, 7]",6,2,"1,2,3,4,5,7",0.7666666666666667,42
3,"[0, 1, 2, 4, 5, 6, 7]",7,1,"0,1,2,4,5,6,7",0.7666666666666667,64
3,"[0, 1, 2, 3, 5, 7]",6,2,"0,1,2,3,5,7",0.7666666666666667,42
3,"[1, 3, 4, 5, 6, 7]",6,2,"1,3,4,5,6,7",0.7666666666666667,42
3,"[0, 1, 2, 4, 5, 6]",6,2,"0,1,2,4,5,6",0.7633333333333333,42
3,"[0, 1, 2, 3, 6, 7]",6,2,"0,1,2,3,6,7",0.7633333333333333,42
3,"[0, 1, 2, 3, 4, 5, 6]",7,1,"0,1,2,3,4,5,6",0.7633333333333333,64
3,"[0, 1, 2, 4, 5, 7]",6,2,"0,1,2,4,5,7",0.7633333333333333,42
3,"[0, 1, 2, 3, 5, 6, 7]",7,1,"0,1,2,3,5,6,7",0.76,64
3,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0,"0,1,2,3,4,5,6,7",0.7566666666666667,93
3,"[0, 1, 2, 3, 4, 5]",6,2,"0,1,2,3,4,5",0.7533333333333333,42
3,"[0, 1, 3, 4, 6, 7]",6,2,"0,1,3,4,6,7",0.7533333333333333,42
3,"[0, 1, 4, 5, 6, 7]",6,2,"0,1,4,5,6,7",0.75,42
3,"[0, 1, 2, 4, 6, 7]",6,2,"0,1,2,4,6,7",0.7466666666666667,42
3,"[0, 2, 3, 4, 5, 6, 7]",7,1,"0,2,3,4,5,6,7",0.74,64
3,"[0, 2, 3, 4, 5, 7]",6,2,"0,2,3,4,5,7",0.74,42
3,"[0, 1, 2, 3, 4, 6, 7]",7,1,"0,1,2,3,4,6,7",0.7333333333333333,64
3,"[2, 3, 4, 5, 6, 7]",6,2,"2,3,4,5,6,7",0.7066666666666667,42
3,"[0, 2, 3, 5, 6, 7]",6,2,"0,2,3,5,6,7",0.7033333333333334,42
3,"[0, 3, 4, 5, 6, 7]",6,2,"0,3,4,5,6,7",0.7,42
3,"[0, 2, 4, 5, 6, 7]",6,2,"0,2,4,5,6,7",0.7,42
3,"[0, 2, 3, 4, 5, 6]",6,2,"0,2,3,4,5,6",0.6966666666666667,42
3,"[0, 2, 3, 4, 6, 7]",6,2,"0,2,3,4,6,7",0.6833333333333333,42
