k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
3,"[0, 1, 2, 3, 4]",5,0,"0,1,2,3,4",1.0,26
3,"[1, 2, 3, 4]",4,1,"1,2,3,4",1.0,15
3,"[0, 2, 3, 4]",4,1,"0,2,3,4",1.0,15
3,"[0, 1, 3, 4]",4,1,"0,1,3,4",1.0,15
3,"[0, 1, 2, 4]",4,1,"0,1,2,4",1.0,15
3,"[0, 1, 2, 3]",4,1,"0,1,2,3",1.0,15
3,"[2, 3, 4]",3,2,"2,3,4",1.0,8
3,"[1, 3, 4]",3,2,"1,3,4",1.0,8
3,"[1, 2, 4]",3,2,"1,2,4",1.0,8
3,"[0, 3, 4]",3,2,"0,3,4",1.0,8
3,"[0, 2, 4]",3,2,"0,2,4",1.0,8
3,"[0, 1, 4]",3,2,"0,1,4",1.0,8
3,"[0, 1, 2]",3,2,"0,1,2",1.0,8
3,"[0, 2, 3]",3,2,"0,2,3",0.9671772428884027,8
3,"[0, 1, 3]",3,2,"0,1,3",0.9343544857768052,8
3,"[1, 2, 3]",3,2,"1,2,3",0.8293216630196937,8
