k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
5,"[1, 2, 4, 5, 6, 7]",6,2,"1,2,4,5,6,7",0.8033333333333333,63
5,"[0, 1, 3, 4, 5, 6]",6,2,"0,1,3,4,5,6",0.8,63
5,"[0, 1, 2, 3, 4, 7]",6,2,"0,1,2,3,4,7",0.8,63
5,"[1, 3, 4, 5, 6, 7]",6,2,"1,3,4,5,6,7",0.7933333333333333,63
5,"[1, 2, 3, 4, 5, 6]",6,2,"1,2,3,4,5,6",0.7933333333333333,63
5,"[0, 1, 2, 3, 5, 6]",6,2,"0,1,2,3,5,6",0.7933333333333333,63
5,"[0, 1, 3, 4, 5, 7]",6,2,"0,1,3,4,5,7",0.7933333333333333,63
5,"[0, 1, 4, 5, 6, 7]",6,2,"0,1,4,5,6,7",0.79,63
5,"[0, 1, 2, 5, 6, 7]",6,2,"0,1,2,5,6,7",0.79,63
5,"[1, 2, 3, 4, 6, 7]",6,2,"1,2,3,4,6,7",0.79,63
5,"[1, 2, 3, 4, 5, 6, 7]",7,1,"1,2,3,4,5,6,7",0.79,120
5,"[0, 1, 3, 5, 6, 7]",6,2,"0,1,3,5,6,7",0.79,63
5,"[0, 1, 2, 3, 4, 5, 6]",7,1,"0,1,2,3,4,5,6",0.7866666666666666,120
5,"[0, 1, 3, 4, 5, 6, 7]",7,1,"0,1,3,4,5,6,7",0.7866666666666666,120
5,"[0, 1, 2, 3, 5, 6, 7]",7,1,"0,1,2,3,5,6,7",0.7833333333333333,120
5,"[0, 1, 2, 4, 5, 6, 7]",7,1,"0,1,2,4,5,6,7",0.7833333333333333,120
5,"[1, 2, 3, 5, 6, 7]",6,2,"1,2,3,5,6,7",0.7833333333333333,63
5,"[0, 1, 2, 4, 5, 7]",6,2,"0,1,2,4,5,7",0.78,63
5,"[1, 2, 3, 4, 5, 7]",6,2,"1,2,3,4,5,7",0.78,63
5,"[0, 1, 3, 4, 6, 7]",6,2,"0,1,3,4,6,7",0.7766666666666666,63
5,"[0, 1, 2, 4, 5, 6]",6,2,"0,1,2,4,5,6",0.7766666666666666,63
5,"[0, 1, 2, 3, 6, 7]",6,2,"0,1,2,3,6,7",0.7733333333333333,63
5,"[0, 1, 2, 3, 5, 7]",6,2,"0,1,2,3,5,7",0.7733333333333333,63
5,"[0, 1, 2, 3, 4, 6]",6,2,"0,1,2,3,4,6",0.7733333333333333,63
5,"[0, 1, 2, 3, 4, 5]",6,2,"0,1,2,3,4,5",0.7733333333333333,63
5,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0,"0,1,2,3,4,5,6,7",0.77,219
5,"[0, 1, 2, 3, 4, 5, 7]",7,1,"0,1,2,3,4,5,7",0.77,120
5,"[0, 1, 2, 4, 6, 7]",6,2,"0,1,2,4,6,7",0.7566666666666667,63
5,"[0, 1, 2, 3, 4, 6, 7]",7,1,"0,1,2,3,4,6,7",0.7566666666666667,120
5,"[0, 2, 3, 4, 5, 7]",6,2,"0,2,3,4,5,7",0.75,63
5,"[2, 3, 4, 5, 6, 7]",6,2,"2,3,4,5,6,7",0.7433333333333333,63
5,"[0, 2, 3, 4, 5, 6, 7]",7,1,"0,2,3,4,5,6,7",0.7366666666666667,120
5,"[0, 2, 4, 5, 6, 7]",6,2,"0,2,4,5,6,7",0.7233333333333334,63
5,"[0, 3, 4, 5, 6, 7]",6,2,"0,3,4,5,6,7",0.72,63
5,"[0, 2, 3, 4, 5, 6]",6,2,"0,2,3,4,5,6",0.7133333333333334,63
5,"[0, 2, 3, 5, 6, 7]",6,2,"0,2,3,5,6,7",0.7033333333333334,63
5,"[0, 2, 3, 4, 6, 7]",6,2,"0,2,3,4,6,7",0.6833333333333333,63
