k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
2,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.8703703703703703,16
2,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.8703703703703703,16
2,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.8703703703703703,16
2,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.8703703703703703,22
2,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.8703703703703703,16
2,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.8703703703703703,16
2,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.8703703703703703,22
2,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.8666666666666667,16
2,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.8666666666666667,29
2,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.8666666666666667,16
2,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.8666666666666667,16
2,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.8629629629629629,16
2,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.8629629629629629,16
2,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.8629629629629629,22
2,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.8629629629629629,16
2,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.8629629629629629,22
2,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.8629629629629629,16
2,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.8629629629629629,16
2,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.8629629629629629,16
2,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.8592592592592593,16
2,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.8592592592592593,16
2,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.8592592592592593,22
2,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.8592592592592593,16
2,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.8592592592592593,16
2,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.8592592592592593,22
2,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.8555555555555555,22
2,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.8518518518518519,16
2,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.8518518518518519,16
2,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.8481481481481481,16
